Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,5550.000000,5805.000000,5450.000000,5750.000000,5237.523926,989206000
2019-05-01,5750.000000,5895.000000,5140.000000,5820.000000,5349.747070,1700900500
2019-06-01,5820.000000,6190.000000,5790.000000,5995.000000,5510.606445,1178851500
2019-07-01,5995.000000,6290.000000,5865.000000,6190.000000,5689.852051,1048706500
2019-08-01,6190.000000,6270.000000,5765.000000,6100.000000,5607.122559,1525333000
2019-09-01,6100.000000,6105.000000,5780.000000,6070.000000,5579.546875,1255296000
2019-10-01,6010.000000,6325.000000,5950.000000,6290.000000,5781.771484,1249113500
2019-11-01,6300.000000,6380.000000,6210.000000,6280.000000,5772.578613,1296823000
2019-12-01,6280.000000,6800.000000,6270.000000,6685.000000,6144.854492,1275070500
2020-01-01,6685.000000,7060.000000,6480.000000,6480.000000,5975.268555,1551656000
2020-02-01,6480.000000,6820.000000,6035.000000,6290.000000,5800.067383,2120977500
2020-03-01,6290.000000,6540.000000,4325.000000,5525.000000,5094.654297,3403123000
2020-04-01,5560.000000,6100.000000,4800.000000,5170.000000,4767.305664,2545355000
2020-05-01,5170.000000,5400.000000,4680.000000,5190.000000,4868.479492,2378008000
2020-06-01,5190.000000,5995.000000,5190.000000,5695.000000,5342.195313,2216937000
2020-07-01,5700.000000,6265.000000,5675.000000,6240.000000,5853.431641,1503022500
2020-08-01,6220.000000,6600.000000,5825.000000,6275.000000,5886.264160,1099871500
2020-09-01,6280.000000,6560.000000,5390.000000,5420.000000,5084.231445,2821163000
2020-10-01,5485.000000,5900.000000,5440.000000,5790.000000,5431.309570,1463911000
2020-11-01,5760.000000,6650.000000,5720.000000,6205.000000,5820.600098,2529672000
2020-12-01,6220.000000,7000.000000,6220.000000,6770.000000,6350.598633,2005640000
2021-01-01,6770.000000,7380.000000,6705.000000,6760.000000,6360.426758,1834336000
2021-02-01,6760.000000,7055.000000,6595.000000,6710.000000,6313.382324,1413109500
2021-03-01,6830.000000,7160.000000,6145.000000,6215.000000,5847.640625,2371572500
2021-04-01,6215.000000,6460.000000,5980.000000,6405.000000,6026.410645,1974207500
2021-05-01,6480.000000,6500.000000,6260.000000,6375.000000,6082.265137,1683020000
2021-06-01,6375.000000,6620.000000,6000.000000,6025.000000,5748.336426,1580537000
2021-07-01,6060.000000,6190.000000,5960.000000,5970.000000,5695.862305,1220667000
2021-08-01,6060.000000,6760.000000,5905.000000,6550.000000,6249.229492,1771916500
2021-09-01,6550.000000,7000.000000,6410.000000,7000.000000,6678.565430,1465856000
2021-10-01,6900.000000,8250.000000,6710.000000,7475.000000,7131.753418,2017737600
2021-11-01,7550.000000,7750.000000,7175.000000,7275.000000,6940.937500,1544359400
2021-12-01,7275.000000,7525.000000,7275.000000,7300.000000,6988.161621,1280505100
2022-01-01,7325.000000,7950.000000,7300.000000,7625.000000,7299.278320,1472535200
2022-02-01,7625.000000,8175.000000,7625.000000,8050.000000,7706.123047,1312503600
2022-03-01,8000.000000,8300.000000,7650.000000,7975.000000,7634.327148,2254595300
2022-04-01,8075.000000,8250.000000,7625.000000,8125.000000,7897.121094,1705910600
2022-05-01,8125.000000,8125.000000,7250.000000,7750.000000,7532.638672,2608979400
2022-06-01,7750.000000,7750.000000,7250.000000,7250.000000,7046.662109,2042126700
2022-07-01,7300.000000,7475.000000,7000.000000,7350.000000,7143.857422,1422575700
2022-08-01,7350.000000,8275.000000,7350.000000,8200.000000,7970.017578,2055623100
2022-09-01,8150.000000,8875.000000,8125.000000,8550.000000,8310.201172,2394672300
2022-10-01,8450.000000,8900.000000,8125.000000,8800.000000,8553.189453,1737574600
2022-11-01,9000.000000,9400.000000,8550.000000,9300.000000,9039.166016,2309626900
2022-12-01,9275.000000,9350.000000,8350.000000,8550.000000,8310.201172,2124227400
2023-01-01,8575.000000,8850.000000,8000.000000,8475.000000,8269.463867,1941986600
2023-02-01,8575.000000,8950.000000,8400.000000,8750.000000,8537.793945,1332060800
2023-03-01,8725.000000,8900.000000,8250.000000,8750.000000,8537.793945,1975372100
2023-04-01,8825.000000,9200.000000,8650.000000,9050.000000,9007.025391,1097882300
2023-05-01,9050.000000,9325.000000,8700.000000,9050.000000,9007.025391,2259737500
2023-06-01,9050.000000,9325.000000,8950.000000,9150.000000,9106.550781,1050138400
2023-07-01,9025.000000,9400.000000,9025.000000,9125.000000,9081.668945,1307303300
2023-08-01,9175.000000,9450.000000,9100.000000,9175.000000,9131.431641,1406160600
2023-09-01,9200.000000,9275.000000,8825.000000,8825.000000,8783.093750,1277052400
2023-10-01,8900.000000,9250.000000,8700.000000,8750.000000,8708.450195,1473758400
2023-11-01,8750.000000,9075.000000,8600.000000,8975.000000,8932.381836,1367708700
2023-12-01,8925.000000,9450.000000,8675.000000,9400.000000,9355.363281,1671827300
2024-01-01,9400.000000,9775.000000,9300.000000,9550.000000,9550.000000,1474778300
2024-02-01,9650.000000,10025.000000,9525.000000,9875.000000,9875.000000,1483790400
2024-03-01,9900.000000,10400.000000,9750.000000,10000.000000,10000.000000,588477700
